gid,FR,avg_exc,avg_inh,max_exc,max_inh,num_exc,num_inh,skew_exc,skew_inh,std_exc,std_inh
320,5,0.005147190105901504,0.004924778124000383,0.008431318627445068,0.007435505110912875,38,45,0.7256357487775218,0.3369809782440398,0.0009935969370608306,0.0009516543752085641
340,7,0.00486312762779016,0.005227106984088385,0.008175351297542828,0.007519174064176272,57,59,0.9460411304698348,0.3147500129405543,0.0009908145446516099,0.0009832216653588638
360,0,0.004964924399639361,0.004997383313423917,0.006900030736232369,0.008733121801469188,21,69,0.3219997222733063,1.3091221702132083,0.0008443722009968392,0.0010563571191324415
380,4,0.004856936349016288,0.005081797047734434,0.006729326308879058,0.007799608268612258,40,40,0.44042662639192737,0.7977186998815629,0.0008987058741785676,0.0009367187741611274
400,13,0.004875474722018907,0.004923898723135329,0.007356915682075419,0.006503395686099986,25,29,0.2438117656464037,0.052559167199532436,0.0009482121015872633,0.0008091782312774996
420,6,0.0053706247279562,0.004795424168443439,0.00704360126758347,0.007418824489816484,24,31,-0.008379724458960099,0.2392547712645561,0.0009825404698676364,0.0010287436972427665
440,3,0.004988024871921755,0.004941663031071108,0.007883418578056104,0.008020469811241946,30,55,0.6277005311983189,0.8739168662126885,0.0010241666023843505,0.0009749094652060443
460,4,0.00483521643646525,0.004804750451013526,0.0066862621493526606,0.00667157664079974,18,34,-0.12872597465521018,0.3254020940007405,0.000844132688166194,0.0008789681210026824
480,2,0.004841663934410831,0.0049190447326718425,0.008972767923729004,0.007653483959617952,23,44,2.1664491362845357,0.6740310568261931,0.0011135955983227366,0.0010669550607414274
500,2,0.005156770593332743,0.00487458438546984,0.007130127146083602,0.007809311874245147,22,40,0.5440231559904211,1.0832775690124032,0.0008407932585899622,0.0010331492061047586
520,1,0.00489290558982028,0.004934507355461302,0.008179532630162453,0.007776491302672661,19,40,1.3700652097755246,0.3859901410165378,0.001082109912761957,0.0011914053019650905
540,3,0.004856128885045784,0.005018959947961138,0.007173080271892055,0.007771135335519885,25,44,0.3567141561909727,0.5679852838526167,0.0010316278683010877,0.0009597131649856967
560,6,0.0049044205216046705,0.004910549689452911,0.007062134005986803,0.006831448787223857,31,38,0.3229638204659621,0.009539325156895508,0.0009709548032803176,0.000903166443538758
580,6,0.0054007836453184134,0.005024114821899497,0.007527289045854795,0.006581027794427897,24,54,-0.07189660894432948,0.20525818766013745,0.0008335252812665838,0.0009035788672347095
600,9,0.005007218403453764,0.004768691990848368,0.007838151187754787,0.00715581146830588,40,48,0.9077884457714706,0.5229541520303974,0.0008768149047193503,0.0008506887569624606
620,1,0.004686108735263006,0.0050288715630936115,0.00590682029604996,0.008408235503722454,10,61,-0.3188604970365349,0.7375498758844834,0.0009147462534106193,0.0009799031134347888
640,3,0.005181181796058418,0.00484795678880716,0.00963470266621515,0.006832319449084871,28,51,1.2573500679287712,0.09340033419637822,0.0013830581256239244,0.0009139011785357177
660,6,0.005045216074557573,0.005144197221766438,0.007560525891815872,0.007894678136359341,33,36,0.5252318091191804,0.5220227681027242,0.0010265037385202749,0.0012209341914770865
680,9,0.004994000150645217,0.005220047881258677,0.00711240441342788,0.00803240059074204,32,34,0.442188147791415,0.20134245799545047,0.0008710542326173862,0.0011025429017983849
700,1,0.005039180624980558,0.004906516823207425,0.0065304406317137215,0.0076495957934429315,14,45,0.2700349503399659,0.5704276672272307,0.0007906728703814521,0.0010250752814010614
720,0,0.004992837184273058,0.0050789678400797456,0.007320492433510642,0.007717639076029406,14,57,0.09946094099434744,0.5753630832055843,0.0011155125830642943,0.000994080182411315
740,3,0.005215635130928965,0.004933726743645957,0.00799253485432421,0.0071620049820492904,17,28,0.5544980646023492,0.3837758503970313,0.0012431286777814061,0.0009593933358111489
760,1,0.0049944230948426776,0.004778316329154284,0.005945998422489492,0.0073306135468431625,9,59,-0.12497095633061472,0.8007061413159359,0.0006996673634123178,0.0009396683426827065
780,5,0.005035266453430619,0.004910215357767517,0.00801905990842823,0.007900860307839427,37,60,0.9821457125127988,0.4477701287992892,0.0010899977010137944,0.0010606463712268894
800,3,0.005118216979118573,0.005111237254125889,0.007121555092647045,0.007495216450487926,24,53,0.006085068900364689,0.34628143065164685,0.0007697625480696201,0.0011538052203845534
820,6,0.005288042362645723,0.005119454780033388,0.00714579916852454,0.008144827384525235,28,35,0.21754311605750667,0.8253749005357646,0.00108549655507556,0.0009893005910022424
840,6,0.004948386056678354,0.004968579250633548,0.007485342208188264,0.007783462924497075,37,49,0.5319311754575413,0.5549536312451508,0.0010710115903582085,0.0010030162837795485
860,6,0.00454116885094007,0.004874316428732668,0.006059325551682078,0.0065059874507643785,18,23,0.09238511793640754,-0.3194259095577029,0.0008280572813479298,0.0009272275352668713
880,8,0.005128591718723074,0.0049801426808554925,0.009562484681530023,0.008952326571043764,20,22,1.3776306567974743,2.1618903732897,0.0014590577787776365,0.0010485028877012911
